事故编号(序号),事故发生时间,星期,事故地点,桩号,事故类型1,事故类型2,死亡人数,重伤人数,受伤人数,直接财产损失（元）,交通中断时间,天气,道路线型,路口路段类型,事故形态,事故认定原因,交通方式 涉事车辆1,交通方式 涉事车辆2（两车事故填）,交通方式 其它涉事车辆（多车事故时手填）,路表情况,路侧防护设施类型,案情简要
1,2020/1/1 14:07,3,银昆高速公路上行线K1676+600,1676600,伤人事故,两车事故,0,0,1,,无,晴,平直,普通路段,尾随相撞,未与前方车辆保持安全距离,小型货车,小型客车,,干燥,防撞墙,2020年1月1日14时07分凉水井隧管所接交警电话通知，上行线K1676+600处发生一起交通事故，我所巡查人员14时22分赶到现场，交警已到达现场处理。上行线K1676+800处一辆车牌为(云C1W213)的一型货车和一辆车牌为(鲁AP08W3)的一型客车发生追尾占用超车道和行车道，应急车道可缓慢通行，1人轻伤，无路产损失，已上报相关科室及监控中心。14时50分事故车辆驶离现场。当班人员对现场垃圾进行清理，14时53分垃圾清理完毕，收回摆放锥桶，道路恢复正常通行
2,15:00.0,4,G85银昆高速下行线K1716+180M,1716180,轻微事故,两车事故,0,0,0,,无,阴,平直,普通路段,侧面相撞,其他操作不当,大型货车,小型货车,,干燥,防撞墙,2020年1月2日12时15分上高桥隧管所当班负责人张世刚接四中队交警通知下行线K1716+180处发生一起交通事故，我所人员于2020年1月2日12时22分到达现场，当班人员立即协助交警部门对事故进行处理，经询问交警，因（豫AI839U/驾驶员：刘贝贝）超车道行驶中操控不当造成与行车道正常行驶（云C7R501/驾驶员：贺胜华）相撞产生交通事故；现场无路产损失（事故现场路面有少量散落垃圾，驾驶员已自行清理完毕），无人员伤亡，占用应急车道，行车道、超车道正常通行。于13时19分有交警处理完毕后，自行离开现场。该事故共计用时1小时04分。
3,2020/1/20 14:07,1,银昆高速公路上行线K1677+850,1677850,轻微事故,单车事故,0,0,0,3615,无,晴,平直,隧道,撞固定物,其他操作不当,小型客车,,,干燥,其他防护设施,2020年1月20日07时30分凉水井隧管接交警电话通知，上行线小岩脚隧道K1677+850处发生一起交通事故，我所值班人员07时56分赶到现场，位于小岩脚隧道上行线K1677+850处，交警已到达现场处理。现场一辆客车单方肇事，车牌（川A92V2V)占用超车道，行车道可正常通行，无人员伤亡，有路产损失，已通知路政部门并上报相关科室及监控中心。08时19分拖车到达现场对事故车辆进行拖离，08时22分事故车辆拖离现场，交通恢复正常通行。
4,51:00.0,3,G85银昆高速下行线K1701+200M,1701200,轻微事故,单车事故,0,0,0,,无,阴,一般坡,隧道,侧面相撞,机件故障,小型货车,,,干燥,防撞墙,2020年1月22日15时41分上高桥隧管所当班负责人张世刚接四中队交警通知下行线王家坪隧道发生一起交通事故及北闸隧管所协同北闸执勤点交警在下行线北闸隧道入口k1733+400处进行交通临时管制四中队交警通知上高桥收费站和靖安收费站入口进行临时交通管制，我所人员于2020年1月22日15时51分到达现场，当班人员立即协助交警部门对事故进行处理，经询问交警，因（云C1T900/驾驶员：宛通梅）超车道行驶中后轮胎掉落造成单方肇事交通事故；现场无路产损失（事故现场路面有大量散落垃圾，隧管所当班人员清理完毕），无人员伤亡，占用超车道，行车道正常通行。于16时18分交警处理完毕后，交警及隧管所当班人员离开现场，该事故共计用时28分。
5,2020/1/21 18:31,2,银昆高速公路泡桐湾大桥下行线K1679+800,1679800,伤人事故,单车事故,0,0,1,3630,无,阴,平直,普通路段,撞固定物,疲劳驾驶,小型客车,,,干燥,波形防撞护栏,2020年1月21日18时31分当班负责人接交警电话通知，泡桐湾大桥下行线K1679+800处发生一起单方事故，我所巡查人员18时53分赶到现场，交警已到达现场处理。下行线K1679+800处一辆车牌为(云C7N501)一型客车因疲劳驾驶，撞入路面波形护栏板上，事故占据应急车道行车道和超车道能正常通行，1人轻伤，有路产损失，（1）、波形2波板损坏1块，（2）、公里桩号牌1个，（3）、防组挡块损坏4个，（4）、钢立柱损坏1根，（5）、半圆端头损坏1个，已上报相关科室及监控中心并立即联系路政。20时42分事故车辆驶离现场。当班人员对现场垃圾进行清理，20时51分垃圾清理完毕，收回摆放锥桶，道路恢复正常通行，并上报监控中心。
6,2020/1/27 5:45,1,银昆高速公路下行线K1671+700,1671700,轻微事故,单车事故,0,0,0,850,无,阴,平直,桥梁,撞固定物,疲劳驾驶,小型客车,,,干燥,防撞墙,"2020年1月27日05时45分当班负责人接交警电话通知，下行线K1671+700处发生一起单方事故，我所巡查人员06时10分赶到现场，交警已到达现场处理。下行线K1671+700处一辆车牌为(云E1J961)一型客车因疲劳驾驶，撞入路面防撞沙桶上，事故占据超车道,行车道能正常通行，无人员伤亡，有路产损失，（1）、半圆端头1个；（2）、防撞沙桶损坏1个，并已上报相关科室及监控中心并立即联系路政。06时51分事故车辆驶离现场。当班人员对现场垃圾进行清理，07时00分垃圾清理完毕，收回摆放锥桶，道路恢复正常通行，并上报监控中心。"
7,2020/2/9 3:10,7,银昆高速公路上行线K1682+430,1682430,轻微事故,单车事故,0,0,0,1000,无,阴,平直,匝道,撞固定物,疲劳驾驶,小型客车,,,潮湿,防撞墙,2020年2月9日03时10分当班负责人接交警电话通知，悦乐立交上行线K1682+430处发生一起单方事故，我所巡查人员03时20分赶到现场，交警已到达现场处理。一辆小型轿车车牌为(云AV296X)因疲劳驾驶，撞入左侧边坡，不影响正常通行，无人员伤亡，有路产损失，事故造成线型诱导标示牌损坏一块，已上报相关科室并立即联系路政。由于特殊时期，施救车无法赶到现场，交警部门让司乘人员到就近悦乐镇落脚，等待天亮拖离事故车辆。
8,30:00.0,2,G85银昆高速下行线K1728+000M,1728000,轻微事故,单车事故,0,0,0,,22:30-06:39,阴,平直,普通路段,翻车,其他操作不当,大型货车,,,潮湿,防撞墙,2020年2月18日00时30分，上高桥隧管所当班人员对辖区进行融雪剂撒布作业，撒布至上行线K1728+000处发现下行线发生一起交通事故，当班人员随融雪撒布车到北闸隧管所用巡查车辆云A8GS13装载12包融雪剂赶赴现场，于 2020年2月18日02时00分赶到现场，到达现场后发现是一起单方肇事交通事故，该路段已被交警于2020年2月17日23时23分在下行线北闸隧道进口端K1733+400处进行交通管制，当班人员立即对该肇事事故进行了解及配合路政、交警进行现场勘察，肇事车辆为：大型货车，车牌为（鲁M.B0681），因驾驶员操作不当，导致车辆货柜侧翻至超车道，行车道及应急车道，现场无人员受伤；无路产损失。于2020年2月18日18时46分配合交警将该事故处理完毕。
9,30:00.0,2,G85银昆高速下行线K1729+000M,1729000,轻微事故,多车事故,0,0,0,,22:30-06:39,阴,一般弯,桥梁,尾随相撞,其他操作不当,大型货车,大型货车,大型货车,潮湿,防撞墙,2020年2月18日00时30分，上高桥隧管所当班人员对辖区进行融雪剂撒布作业，撒布至上行线K1728+000处发现下行线发生一起交通事故，当班人员随融雪撒布车到北闸隧管所用巡查车辆云A8GS13装载12包融雪剂赶赴现场，于2020年2月18日01时10分赶至下行K1729+000处发现一起多车追尾交通事故，该路段已被交警于2020年2月17日23时23分在下行线北闸隧道进口端K1733+400处进行交通管制，当班人员立即对该肇事事故进行了解及配合路政进行现场勘察，肇事车辆为：大型货车，车牌为（桂B.F2589），由于三车相撞侧翻于超车道及行车道上，超车道，行车道及应急车道有大量花菜掉落，现场无人员受伤；无路产损失，有路面垃圾。垃圾为以下两处：1.长13米宽5米；2.长16米宽11米，投入装载机1辆，保洁人员13人，肇事车辆于2020年2月18日10时12分拖走。
10,30:00.0,2,G85银昆高速下行线K1729+920M,1729920,轻微事故,多车事故,0,0,0,4860,22:30-06:39,阴,一般弯,桥梁,侧面相撞,其他操作不当,大型货车,大型货车,大型货车,潮湿,防撞墙,2020年2月18日00时30分，上高桥隧管所当班人员对辖区进行融雪剂撒布作业，撒布至上行线K1728+000处发现下行线发生一起交通事故，当班人员随融雪撒布车到北闸隧管所用巡查车辆云A8GS13装载12包融雪剂赶赴现场，于2020年2月18日00时40分赶至下行线K1729+920处发现一起车辆追尾交通事故，该路段已被交警于2020年2月17日23时23分在下行线北闸隧道进口端K1733+400处进行交通管制，当班人员立即对该肇事事故进行了解及配合路政进行现场勘察，肇事车辆为：大型货车，车牌为（赣C.8N211四轴，），由于驾驶员操作不当追尾应急车道车辆，导致两车追尾，占用应急车道，行车道、超车道。该事故于10时12分处理完毕，肇事车辆全部托走。
